fac_name,type,admin1_abb,admin2_abb,date_closed,date_opened,lat,long,info,ou3_abb,admin1_name,Date_closed
NHN Akeso Parktown Hospital,Private Hospital,GP,JHB,9999-12-31,2014-10-01,NA,NA,,JHB_F,Gauteng,NA
NHN Akeso Crescent Randburg Hospital,Private Hospital,GP,JHB,9999-12-31,2014-01-01,NA,NA,,JHB_B,Gauteng,NA
NHN Akeso Alberton Hospital,Private Hospital,GP,EKU,9999-12-31,2014-10-01,NA,NA,,EKU_S1,Gauteng,NA
Netcare Waterfall City Hospital,Private Hospital,GP,JHB,9999-12-31,2014-10-01,NA,NA,,JHB_A,Gauteng,NA
Netcare Union Hospital,Private Hospital,GP,EKU,9999-12-31,2000-04-01,-26.26529,28.12019,,EKU_S1,Gauteng,NA
Netcare Rosebank Hospital,Private Hospital,GP,JHB,9999-12-31,2000-04-01,-26.14624,28.03924,,JHB_B,Gauteng,NA
Netcare Rehabilitation Hospital,Private Hospital,GP,JHB,9999-12-31,2000-04-01,-26.18858,28.01224,,JHB_B,Gauteng,NA
Netcare Pretoria East Hospital,Private Hospital,GP,TSH,9999-12-31,2003-09-01,-25.82096,28.30496,,TSH_6,Gauteng,NA
Netcare Optiklin Eye Hospital,Private Hospital,GP,EKU,9999-12-31,2014-10-01,NA,NA,,EKU_N2,Gauteng,NA
Netcare Linmed Hospital,Private Hospital,GP,EKU,9999-12-31,2002-10-01,-26.14548,28.33078,,EKU_N2,Gauteng,NA
Netcare Linkwood Hospital,Private Hospital,GP,JHB,9999-12-31,2014-10-01,NA,NA,,JHB_E,Gauteng,NA
Netcare Ferncrest Hospital,Private Hospital,GP,TSH,9999-12-31,1994-01-01,-25.67655,28.17387,,TSH_3,Gauteng,NA
Netcare Femina Hospital,Private Hospital,GP,TSH,9999-12-31,2003-09-01,-25.74012,28.20037,,TSH_3,Gauteng,NA
Netcare Bougainville Hospital,Private Hospital,GP,TSH,9999-12-31,2000-04-01,-25.71528,28.1535,,TSH_3,Gauteng,NA
Netcare Bell Street Hospital,Private Hospital,GP,DC48,9999-12-31,2014-10-01,NA,NA,,GT481,Gauteng,NA
Midvaal Private Hospital,Private Hospital,GP,DC42,9999-12-31,2001-10-01,-26.6617,27.96935,,GT421,Gauteng,NA
Mediclinic Vereeniging Hospital,Private Hospital,GP,DC42,9999-12-31,2000-05-01,-26.6678,27.9283,,GT421,Gauteng,NA
Mediclinic Morningside Hospital,Private Hospital,GP,JHB,9999-12-31,2000-04-01,-26.09566,28.05595,,JHB_E,Gauteng,NA
Mediclinic Medforum Hospital,Private Hospital,GP,TSH,9999-12-31,2003-01-01,-25.74687,28.19966,,TSH_3,Gauteng,NA
Mediclinic Legae Hospital,Private Hospital,GP,TSH,9999-12-31,2010-04-01,-25.52514,28.03835,,TSH_1,Gauteng,NA
Mediclinic Kloof Hospital,Private Hospital,GP,TSH,9999-12-31,2005-03-01,-25.81297,28.2631,,TSH_6,Gauteng,NA
Mediclinic Emfuleni Hospital,Private Hospital,GP,DC42,9999-12-31,2004-06-01,-26.70316,27.84252,,GT421,Gauteng,NA
Mayo Hospital,Private Hospital,GP,JHB,9999-12-31,1994-01-01,-26.15047,27.92086,,JHB_C,Gauteng,NA
Louis Pasteur Private Hospital,Private Hospital,GP,TSH,9999-12-31,2003-09-01,-25.74855,28.19666,,TSH_3,Gauteng,NA
Lifemed Hospital,Private Hospital,GP,JHB,9999-12-31,2000-04-01,-26.20111,27.93667,,JHB_C,Gauteng,NA
Life Suikerbosrand Hospital,Private Hospital,GP,DC42,9999-12-31,2006-10-01,-26.49993,28.35781,Babies sent to Heidelberg Hospital for Immunisation Receiving no data from Suikerbosrand,GT423,Gauteng,NA
Life Springs Parkland Hospital,Private Hospital,GP,EKU,9999-12-31,2000-04-01,-26.26576,28.43466,,EKU_E2,Gauteng,NA
Life Roseacres Hospital,Private Hospital,GP,EKU,9999-12-31,2005-12-01,-26.19663,28.165,,EKU_S1,Gauteng,NA
Life Riverfield Lodge Hospital,Private Hospital,GP,JHB,9999-12-31,2014-01-01,NA,NA,,JHB_B,Gauteng,NA
Life Poortview Hospital,Private Hospital,GP,JHB,9999-12-31,2014-01-01,NA,NA,,JHB_D,Gauteng,NA
Life Glynnview Hospital,Private Hospital,GP,EKU,9999-12-31,2014-01-01,NA,NA,,EKU_N2,Gauteng,NA
Life Fourways Hospital,Private Hospital,GP,JHB,9999-12-31,2014-10-01,NA,NA,,JHB_A,Gauteng,NA
Life Carstenhof Hospital,Private Hospital,GP,JHB,9999-12-31,2000-04-01,-26.03111,28.13964,,JHB_E,Gauteng,NA
Life Brooklyn Day Hospital,Private Hospital,GP,TSH,9999-12-31,2014-10-01,NA,NA,,TSH_3,Gauteng,NA
Life Brenthurst Hospital,Private Hospital,GP,JHB,9999-12-31,2000-04-01,-26.18429,28.0466,,JHB_F,Gauteng,NA
Lesedi Private Hospital,Private Hospital,GP,JHB,9999-12-31,2009-01-01,-26.25816,27.93585,,JHB_D,Gauteng,NA
Kloof Hospital,Private Hospital,GP,TSH,9999-12-31,2003-11-01,-25.81118,28.26286,,TSH_6,Gauteng,NA
Harmelia Private Hospital,Private Hospital,GP,EKU,9999-12-31,2000-04-01,-26.13655,28.2021,,EKU_N1,Gauteng,NA
Fordsburg Hospital,Private Hospital,GP,JHB,9999-12-31,1994-01-01,-26.20999,28.02157,,JHB_F,Gauteng,NA
Fochville Hospital,Private Hospital,GP,DC48,9999-12-31,1994-01-01,-26.48125,27.49689,,GT484,Gauteng,NA
Denmar Specialist Psychiatric Hospital,Private Hospital,GP,TSH,9999-12-31,2006-01-01,-25.80253,28.29974,,TSH_6,Gauteng,NA
Curamed Hospital,Private Hospital,GP,TSH,9999-12-31,2003-12-01,-25.75513,28.20343,,TSH_3,Gauteng,NA
Cormed Hospital,Private Hospital,GP,DC42,9999-12-31,2000-01-01,NA,NA,,GT421,Gauteng,NA
Botshilu Private Hospital,Private Hospital,GP,TSH,9999-12-31,2014-10-01,NA,NA,,TSH_1,Gauteng,NA
Baneng Psychiatric Hospital,Private Hospital,GP,DC48,9999-12-31,2000-01-01,-26.20111,27.43667,,GT484,Gauteng,NA
Astrid Hospital,Private Hospital,GP,TSH,9999-12-31,2004-03-01,-25.74756,28.20969,,TSH_3,Gauteng,NA
Argyle Hospital,Private Hospital,GP,JHB,9999-12-31,2000-04-01,-26.1929,28.0434,,JHB_F,Gauteng,NA
Actonville Hospital,Private Hospital,GP,EKU,9999-12-31,2000-04-01,-26.21268,28.30142,,EKU_E1,Gauteng,NA
Tembisa Hospital,Provincial Tertiary Hospital,GP,EKU,9999-12-31,2001-04-01,-25.9828,28.23756,,EKU_N1,Gauteng,NA
Kalafong Hospital,Provincial Tertiary Hospital,GP,TSH,9999-12-31,2001-04-01,-25.76277,28.08948,,TSH_3,Gauteng,NA
Helen Joseph Hospital,Provincial Tertiary Hospital,GP,JHB,9999-12-31,2003-01-01,-26.1839,27.9901,,JHB_B,Gauteng,NA
Thelle Mogoerane Regional Hospital,Regional Hospital,GP,EKU,9999-12-31,2001-04-01,-26.32501,28.14433,The “new” Natalspruit Hospital in Vosloorus has been renamed for ANC activist Thelle Mogoerane.,EKU_S1,Gauteng,NA
Tambo Memorial Hospital,Regional Hospital,GP,EKU,9999-12-31,2001-04-01,-26.21849,28.24449,,EKU_N2,Gauteng,NA
Sebokeng Hospital,Regional Hospital,GP,DC42,9999-12-31,2001-04-01,-26.60611,27.84622,,GT421,Gauteng,NA
Rahima Moosa Hospital,Regional Hospital,GP,JHB,9999-12-31,2001-04-01,-26.18824,27.97329,,JHB_B,Gauteng,NA
Pholosong Hospital,Regional Hospital,GP,EKU,9999-12-31,2001-04-01,-26.3398,28.37705,,EKU_E1,Gauteng,NA
New Natalspruit Hospital,Regional Hospital,GP,EKU,9999-12-31,2015-01-01,-26.35733,28.22489,The “new” Natalspruit Hospital in Vosloorus has been renamed for ANC activist Thelle Mogoerane.,EKU_S1,Gauteng,NA
Mamelodi Hospital,Regional Hospital,GP,TSH,9999-12-31,2001-04-01,-25.71864,28.36788,,TSH_6,Gauteng,NA
Leratong Hospital,Regional Hospital,GP,DC48,9999-12-31,2001-04-01,-26.17133,27.80774,,GT481,Gauteng,NA
Far East Rand Hospital,Regional Hospital,GP,EKU,9999-12-31,2001-04-01,-26.23545,28.40367,,EKU_E2,Gauteng,NA
Edenvale Hospital,Regional Hospital,GP,JHB,9999-12-31,2001-04-01,-26.12831,28.12942,It seems Edenvale Hospital is in Joburg according to it's Physical address on the Gauteng Health website and also the co-ords I found on Google Maps,JHB_E,Gauteng,NA
Tshwane Rehabilitation Hospital,Specialised Hospital,GP,TSH,9999-12-31,2014-02-01,-25.73406,28.20087,,TSH_3,Gauteng,NA
Sizwe Tropical Diseases Hospital,Specialised Hospital,GP,JHB,9999-12-31,2002-02-01,-26.13745,28.12496,,JHB_E,Gauteng,NA
Cullinan Rehabilitation Hospital,Specialised Hospital,GP,TSH,9999-12-31,2003-01-01,-25.69105,28.53852,,TSH_5,Gauteng,NA
Weskoppies Hospital,Specialised Psychiatric Hospital,GP,TSH,9999-12-31,2003-01-01,-25.76389,28.16057,,TSH_3,Gauteng,NA
Tara H Moross Centre Hospital,Specialised Psychiatric Hospital,GP,JHB,9999-12-31,2003-01-01,-26.10872,28.03646,,JHB_B,Gauteng,NA
Sterkfontein Hospital,Specialised Psychiatric Hospital,GP,DC48,9999-12-31,2003-01-01,-26.05818,27.7474,,GT481,Gauteng,NA
Wentworth Hospital,District Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.93291,30.98916,,ETH_MM,KwaZulu Natal,NA
Vryheid Hospital,District Hospital,KZ,DC26,9999-12-31,1994-01-01,-27.75835,30.79709,,KZN263,KwaZulu Natal,NA
Untunjambili Hospital,District Hospital,KZ,DC29,9999-12-31,1994-01-01,-28.94202,30.94846,,KZN294,KwaZulu Natal,NA
Umphumulo Hospital,District Hospital,KZ,DC29,9999-12-31,1994-01-01,-29.14255,31.04259,,KZN294,KwaZulu Natal,NA
St Marys Hospital (Mariannhill),District Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.849,30.8249,,ETH_MM,KwaZulu Natal,NA
St Apollinaris Hospital,District Hospital,KZ,DC43,9999-12-31,1994-01-01,-30.01653,29.72575,,KZN436,KwaZulu Natal,NA
St Andrews Hospital,District Hospital,KZ,DC21,9999-12-31,1994-01-01,-30.5756,29.8893,,KZN214,KwaZulu Natal,NA
Rietvlei Hospital,District Hospital,KZ,DC43,9999-12-31,1994-01-01,-30.48783,29.82481,,KZN435,KwaZulu Natal,NA
Osindisweni Hospital,District Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.60822,30.9832,,ETH_MM,KwaZulu Natal,NA
Northdale Hospital,District Hospital,KZ,DC22,9999-12-31,1994-01-01,-29.57562,30.40265,,KZN225,KwaZulu Natal,NA
Nkonjeni Hospital,District Hospital,KZ,DC26,9999-12-31,1994-01-01,-28.22663,31.41477,,KZN266,KwaZulu Natal,NA
Nkandla Hospital,District Hospital,KZ,DC28,9999-12-31,1994-01-01,-28.6245,31.08683,,KZN286,KwaZulu Natal,NA
Niemeyer Memorial Hospital,District Hospital,KZ,DC25,9999-12-31,1994-01-01,-27.66179,30.31595,,KZN253,KwaZulu Natal,NA
Murchison Hospital,District Hospital,KZ,DC21,9999-12-31,1994-01-01,-30.72804,30.34402,,KZN216,KwaZulu Natal,NA
Mseleni Hospital,District Hospital,KZ,DC27,9999-12-31,1994-01-01,-27.32566,32.55664,,KZN271,KwaZulu Natal,NA
Mosvold Hospital,District Hospital,KZ,DC27,9999-12-31,1994-01-01,-27.13837,32.00475,Mosvold Sub-district,KZN272,KwaZulu Natal,NA
Montebello Hospital,District Hospital,KZ,DC29,9999-12-31,1994-01-01,-29.43948,30.80716,,KZN293,KwaZulu Natal,NA
McCords Hospital,District Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.83829,30.99694,changed ownership from Prov Aided to gov Province on Feb14,ETH_MM,KwaZulu Natal,NA
Mbongolwane Hospital,District Hospital,KZ,DC28,9999-12-31,1994-01-01,-28.93543,31.19541,,KZN284,KwaZulu Natal,NA
Manguzi Hospital,District Hospital,KZ,DC27,9999-12-31,1994-01-01,-26.98403,32.75637,,KZN271,KwaZulu Natal,NA
KwaMagwaza Hospital,District Hospital,KZ,DC28,9999-12-31,1994-01-01,-28.62933,31.34105,Previously St Mary's Hospital (Melmoth),KZN285,KwaZulu Natal,NA
Itshelejuba Hospital,District Hospital,KZ,DC26,9999-12-31,1994-01-01,-27.27742,31.34797,,KZN262,KwaZulu Natal,NA
Hlabisa Hospital,District Hospital,KZ,DC27,9999-12-31,1994-01-01,-28.14555,31.8807,,KZN276,KwaZulu Natal,NA
Greytown Hospital,District Hospital,KZ,DC24,9999-12-31,1994-01-01,-29.06578,30.60005,,KZN245,KwaZulu Natal,NA
GJ Crookes Hospital,District Hospital,KZ,DC21,9999-12-31,1994-01-01,-30.2882,30.7449,,KZN212,KwaZulu Natal,NA
Estcourt Hospital,District Hospital,KZ,DC23,9999-12-31,1994-01-01,-29.02058,29.89393,,KZN237,KwaZulu Natal,NA
Eshowe Hospital,District Hospital,KZ,DC28,9999-12-31,1994-01-01,-28.891,31.46646,,KZN284,KwaZulu Natal,NA
Emmaus Hospital,District Hospital,KZ,DC23,9999-12-31,1994-01-01,-28.85249,29.38133,,KZN235,KwaZulu Natal,NA
Ekhombe Hospital,District Hospital,KZ,DC28,9999-12-31,1994-01-01,-28.64135,30.89321,,KZN286,KwaZulu Natal,NA
East Griqualand and Usher Memorial Hospital,District Hospital,KZ,DC43,9999-12-31,1994-01-01,-30.54583,29.41544,,KZN433,KwaZulu Natal,NA
Dundee Hospital,District Hospital,KZ,DC24,9999-12-31,1994-01-01,-28.1729,30.22974,,KZN241,KwaZulu Natal,NA
Church of Scotland Hospital,District Hospital,KZ,DC24,9999-12-31,1994-01-01,-28.7476,30.45092,,KZN244,KwaZulu Natal,NA
Christ the King Hospital,District Hospital,KZ,DC43,9999-12-31,1994-01-01,-30.16275,30.07793,,KZN434,KwaZulu Natal,NA
Charles Johnson Memorial Hospital,District Hospital,KZ,DC24,9999-12-31,1994-01-01,-28.21196,30.67292,,KZN242,KwaZulu Natal,NA
Ceza Hospital,District Hospital,KZ,DC26,9999-12-31,1994-01-01,-27.99607,31.37719,,KZN266,KwaZulu Natal,NA
Catherine Booth Hospital,District Hospital,KZ,DC28,9999-12-31,1994-01-01,-28.99767,31.47471,,KZN284,KwaZulu Natal,NA
Bethesda Hospital,District Hospital,KZ,DC27,9999-12-31,1994-01-01,-27.57411,32.0821,,KZN272,KwaZulu Natal,NA
Benedictine Hospital,District Hospital,KZ,DC26,9999-12-31,1994-01-01,-27.891,31.63932,,KZN265,KwaZulu Natal,NA
Appelsbosch Hospital,District Hospital,KZ,DC22,9999-12-31,1994-01-01,-29.38985,30.8427,,KZN221,KwaZulu Natal,NA
Inkosi Albert Luthuli Central Hospital,National Central Hospital,KZ,ETH,9999-12-31,2004-01-01,-29.87391,30.95876,,ETH_MM,KwaZulu Natal,NA
Saiccor Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-30.2011,30.79335,,ETH_MM,KwaZulu Natal,NA
NHN Shelly Beach Day Hospital,Private Hospital,KZ,DC21,9999-12-31,2014-01-01,NA,NA,,KZN216,KwaZulu Natal,NA
NHN Nongoma Private Hospital,Private Hospital,KZ,DC26,9999-12-31,2014-10-01,NA,NA,,KZN265,KwaZulu Natal,NA
NHN M-Care Umhlanga Hospital,Private Hospital,KZ,ETH,9999-12-31,2014-10-01,NA,NA,,ETH_MM,KwaZulu Natal,NA
NHN Lenmed Health eThekwini Heart Centre Hospital,Private Hospital,KZ,ETH,9999-12-31,2014-10-01,NA,NA,,ETH_MM,KwaZulu Natal,NA
NHN Hillcrest Private Hospital,Private Hospital,KZ,ETH,9999-12-31,2014-10-01,NA,NA,,ETH_MM,KwaZulu Natal,NA
NHN Hibiscus Private Hospital,Private Hospital,KZ,DC21,9999-12-31,1994-01-01,-30.74152,30.4517,,KZN216,KwaZulu Natal,NA
NHN Healing Hills Hospital,Private Hospital,KZ,ETH,9999-12-31,2014-10-01,NA,NA,,ETH_MM,KwaZulu Natal,NA
NHN Daymed Private Hospital,Private Hospital,KZ,DC22,9999-12-31,1994-01-01,-29.56266,30.40753,,KZN225,KwaZulu Natal,NA
NHN Capital Haematology Hospital,Private Hospital,KZ,ETH,9999-12-31,2014-10-01,NA,NA,,ETH_MM,KwaZulu Natal,NA
Netcare Umhlanga Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.7275,31.0687,,ETH_MM,KwaZulu Natal,NA
Netcare The Bay Hospital,Private Hospital,KZ,DC28,9999-12-31,1994-01-01,-28.74956,32.05282,,KZN282,KwaZulu Natal,NA
Netcare St Augustine's Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.85649,30.99045,,ETH_MM,KwaZulu Natal,NA
Netcare Parklands Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.83404,30.99848,,ETH_MM,KwaZulu Natal,NA
Netcare Margate Hospital,Private Hospital,KZ,DC21,9999-12-31,1994-01-01,-30.8617,30.35818,,KZN216,KwaZulu Natal,NA
Netcare Kingsway Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-30.0329,30.90398,,ETH_MM,KwaZulu Natal,NA
Netcare Alberlito Hospital,Private Hospital,KZ,DC29,9999-12-31,2014-10-01,NA,NA,,KZN292,KwaZulu Natal,NA
Mediclinic Victoria Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.57331,31.11821,Check - not listed on Afrox Website,ETH_MM,KwaZulu Natal,NA
Malvern Medical and Dental Centre Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.88143,30.92062,,ETH_MM,KwaZulu Natal,NA
Longridge Colliery Mine Hospital,Private Hospital,KZ,DC26,9999-12-31,1994-01-01,-27.48725,30.60844,,KZN261,KwaZulu Natal,NA
Life Westville Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.85099,30.93211,,ETH_MM,KwaZulu Natal,NA
Life The Crompton Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.8112,30.86521,,ETH_MM,KwaZulu Natal,NA
Life Mount Edgecombe Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.71572,31.03565,Alias Phoenix Hospital,ETH_MM,KwaZulu Natal,NA
Life Entabeni Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.85554,30.98743,,ETH_MM,KwaZulu Natal,NA
Kynoch Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-30.01846,30.90682,,ETH_MM,KwaZulu Natal,NA
Greytown Private Hospital,Private Hospital,KZ,DC24,9999-12-31,1994-01-01,-29.06073,30.60663,,KZN245,KwaZulu Natal,NA
City Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.85128,31.01469,,ETH_MM,KwaZulu Natal,NA
Bluff Medical and Dental Centre Hospital,Private Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.90864,31.02,,ETH_MM,KwaZulu Natal,NA
Ngwelezana Hospital,Provincial Tertiary Hospital,KZ,DC28,9999-12-31,1994-01-01,-28.77956,31.86412,,KZN282,KwaZulu Natal,NA
King Edward VIII Hospital,Provincial Tertiary Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.88222,30.98951,Changed to Tertiary as instruction from Provinical Data Management October 2015,ETH_MM,KwaZulu Natal,NA
Grey's Hospital,Provincial Tertiary Hospital,KZ,DC22,9999-12-31,1994-01-01,-29.57961,30.36378,,KZN225,KwaZulu Natal,NA
Stanger Hospital,Regional Hospital,KZ,DC29,9999-12-31,1994-01-01,-29.33279,31.28516,,KZN292,KwaZulu Natal,NA
St Aidans Hospital,Regional Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.85072,31.01103,,ETH_MM,KwaZulu Natal,NA
RK Khan Hospital,Regional Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.91517,30.88624,,ETH_MM,KwaZulu Natal,NA
Prince Mshiyeni Memorial Hospital,Regional Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.95482,30.93662,,ETH_MM,KwaZulu Natal,NA
Port Shepstone Hospital,Regional Hospital,KZ,DC21,9999-12-31,1994-01-01,-30.7435,30.45088,,KZN216,KwaZulu Natal,NA
Newcastle Hospital,Regional Hospital,KZ,DC25,9999-12-31,1994-01-01,-27.76312,29.93597,,KZN252,KwaZulu Natal,NA
Mahatma Gandhi Hospital,Regional Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.71839,31.02885,,ETH_MM,KwaZulu Natal,NA
Madadeni Hospital,Regional Hospital,KZ,DC25,9999-12-31,1994-01-01,-27.7636,30.0508,,KZN252,KwaZulu Natal,NA
Ladysmith Hospital,Regional Hospital,KZ,DC23,9999-12-31,1994-01-01,-28.55673,29.76606,,KZN238,KwaZulu Natal,NA
King Dinuzulu Hospital,Regional Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.82357,30.98703,,ETH_MM,KwaZulu Natal,NA
Edendale Hospital,Regional Hospital,KZ,DC22,9999-12-31,1994-01-01,-29.64737,30.33276,,KZN225,KwaZulu Natal,NA
Addington Hospital,Regional Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.86163,31.04229,,ETH_MM,KwaZulu Natal,NA
Hillcrest Hospital,Specialised Chronic Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.78949,30.76151,Geriatrics,ETH_MM,KwaZulu Natal,NA
Clairwood Hospital,Specialised Chronic Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.93577,30.95678,,ETH_MM,KwaZulu Natal,NA
Amatikulu Chronic Sick Home Hospital,Specialised Chronic Hospital,KZ,DC29,9999-12-31,1994-01-01,-29.12507,31.56957,,KZN291,KwaZulu Natal,NA
Oral and Dental Training Institution,Specialised Hospital,KZ,ETH,9999-12-31,2003-11-01,-29.82619,30.98431,,ETH_MM,KwaZulu Natal,NA
KwaZulu-Natal Childrens Hospital,Specialised Hospital,KZ,ETH,9999-12-31,2013-04-01,-29.86696,31.04294,,ETH_MM,KwaZulu Natal,NA
Umzimkhulu Hospital,Specialised Psychiatric Hospital,KZ,DC43,9999-12-31,1994-01-01,-30.25535,29.92602,,KZN435,KwaZulu Natal,NA
Umgeni Waterfall Institute Hospital,Specialised Psychiatric Hospital,KZ,DC22,9999-12-31,1994-01-01,-29.50088,30.23278,,KZN222,KwaZulu Natal,NA
Townhill Hospital,Specialised Psychiatric Hospital,KZ,DC22,9999-12-31,1994-01-01,-29.5875,30.36644,,KZN225,KwaZulu Natal,NA
St Francis Hospital,Specialised Psychiatric Hospital,KZ,DC26,9999-12-31,1994-01-01,-28.22467,31.47673,,KZN266,KwaZulu Natal,NA
Fort Napier Hospital,Specialised Psychiatric Hospital,KZ,DC22,9999-12-31,1994-01-01,-29.61386,30.36894,,KZN225,KwaZulu Natal,NA
Ekuhlengeni Sanatorium Hospital,Specialised Psychiatric Hospital,KZ,ETH,9999-12-31,1994-01-01,-30.00714,30.90284,,ETH_MM,KwaZulu Natal,NA
Thulasizwe TB Hospital,Specialised TB Hospital,KZ,DC26,9999-12-31,1994-01-01,-27.95269,31.36786,,KZN266,KwaZulu Natal,NA
St Margarets TB MDR Hospital,Specialised TB Hospital,KZ,DC43,9999-12-31,1994-01-01,-30.2693,29.9327,,KZN435,KwaZulu Natal,NA
Siloah Lutheran Mission Hospital,Specialised TB Hospital,KZ,DC26,9999-12-31,1994-01-01,-27.74022,31.51009,,KZN263,KwaZulu Natal,NA
Richmond Chest Hospital,Specialised TB Hospital,KZ,DC22,9999-12-31,1994-01-01,-29.86455,30.27582,,KZN227,KwaZulu Natal,NA
Mountain View Salvation Army Mission Hospital,Specialised TB Hospital,KZ,DC26,9999-12-31,1994-01-01,-27.78138,31.42538,,KZN263,KwaZulu Natal,NA
Greytown TB Hospital,Specialised TB Hospital,KZ,DC24,9999-12-31,2008-04-01,-29.067,30.583,,KZN245,KwaZulu Natal,NA
Dunstan Farrell TB Hospital,Specialised TB Hospital,KZ,DC21,9999-12-31,1994-01-01,-30.5357,30.5125,,KZN216,KwaZulu Natal,NA
Doris Goodwin TB Hospital,Specialised TB Hospital,KZ,DC22,9999-12-31,1994-01-01,-29.64881,30.33654,,KZN225,KwaZulu Natal,NA
Don McKenzie TB Hospital,Specialised TB Hospital,KZ,ETH,9999-12-31,1994-01-01,-29.73826,30.73953,,ETH_MM,KwaZulu Natal,NA
Charles James TB Hospital,Specialised TB Hospital,KZ,ETH,9999-12-31,1994-01-01,-30.01707,30.88539,,ETH_MM,KwaZulu Natal,NA
Zebediela Hospital,District Hospital,LP,DC35,9999-12-31,1994-01-01,-24.48189,29.40445,Alias Magatle (Zebediela) Hospital,LIM355,Limpopo,NA
Witpoort Hospital,District Hospital,LP,DC36,9999-12-31,1994-01-01,-23.33447,28.01118,,LIM362,Limpopo,NA
WF Knobel Hospital,District Hospital,LP,DC35,9999-12-31,1994-01-01,-23.63409,29.12057,,LIM354,Limpopo,NA
Warmbaths Hospital,District Hospital,LP,DC36,9999-12-31,1994-01-01,-24.88592,28.28873,,LIM366,Limpopo,NA
Voortrekker Memorial (Potgietersrus) Hospital,District Hospital,LP,DC36,9999-12-31,1994-01-01,-24.19624,29.01405,,LIM367,Limpopo,NA
Van Velden Memorial (Tzaneen) Hospital,District Hospital,LP,DC33,9999-12-31,1994-01-01,-23.835,30.16427,,LIM333,Limpopo,NA
Thabazimbi Hospital,District Hospital,LP,DC36,9999-12-31,1994-01-01,-24.59871,27.4069,,LIM361,Limpopo,NA
Siloam Hospital,District Hospital,LP,DC34,9999-12-31,1994-01-01,-22.89266,30.19429,,LIM344,Limpopo,NA
Seshego Hospital,District Hospital,LP,DC35,9999-12-31,1994-01-01,-23.85667,29.39583,,LIM354,Limpopo,NA
Sekororo Hospital,District Hospital,LP,DC33,9999-12-31,1994-01-01,-24.2515,30.44767,,LIM335,Limpopo,NA
Nkhensani Hospital,District Hospital,LP,DC33,9999-12-31,1994-01-01,-23.3125,30.69215,,LIM331,Limpopo,NA
Messina Hospital,District Hospital,LP,DC34,9999-12-31,1994-01-01,-22.34169,30.04285,,LIM341,Limpopo,NA
Mecklenburg Hospital,District Hospital,LP,DC47,9999-12-31,1994-01-01,-24.38612,30.07487,,LIM476,Limpopo,NA
Matlala Hospital,District Hospital,LP,DC47,9999-12-31,1994-01-01,-24.83216,29.50233,,LIM471,Limpopo,NA
Maphutha L Malatjie Hospital,District Hospital,LP,DC33,9999-12-31,1994-01-01,-23.92533,31.03717,,LIM334,Limpopo,NA
Malamulele Hospital,District Hospital,LP,DC34,9999-12-31,1994-01-01,-22.99699,30.69669,,LIM345,Limpopo,NA
Louis Trichardt Hospital,District Hospital,LP,DC34,9999-12-31,1994-01-01,-23.02913,29.90614,,LIM344,Limpopo,NA
Lebowakgomo Hospital,District Hospital,LP,DC35,9999-12-31,1994-01-01,-24.2955,29.5285,Previously Lebowakgomo CHC,LIM355,Limpopo,NA
Kgapane Hospital,District Hospital,LP,DC33,9999-12-31,1994-01-01,-23.64778,30.21861,,LIM332,Limpopo,NA
Jane Furse Hospital,District Hospital,LP,DC47,9999-12-31,1994-01-01,-24.76383,29.86767,No geocode for new Jane Furse Hospital,LIM473,Limpopo,NA
Helene Franz Hospital,District Hospital,LP,DC35,9999-12-31,1994-01-01,-23.28381,29.11313,,LIM351,Limpopo,NA
Groblersdal Hospital,District Hospital,LP,DC47,9999-12-31,1994-01-01,-25.17626,29.40387,,LIM472,Limpopo,NA
